@relation 'Dados Tubarão - Morfometria'

@attribute Espécie {G. cuvier,C.leucas,R. porosus,C. limbatus,C. acronotus,Sphyrna Itamaracá,S. lewini,S. mokarran}
@attribute mandíbula {S,I}
@attribute lado {D,E}
@attribute medida {L,AL,PaP}
@attribute D1 numeric
@attribute D2 numeric
@attribute D3 numeric
@attribute D4 numeric
@attribute D5 numeric
@attribute D6 numeric
@attribute D7 numeric
@attribute D8 numeric
@attribute D9 numeric
@attribute D10 numeric

@data
R. porosus,I,D,L,0.4,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.4,0.4
C. acronotus,S,D,L,0.2,0.3,0.3,0.7,0.8,0.9,0.7,0.1,0.9,0.7
C. acronotus,S,D,AL,0.6,0.8,0.9,0.8,0.1,0.11,0.8,0.7,0.6,0.5
C. acronotus,S,D,PaP,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.6,0.6,0.5
C. limbatus,S,D,L,0.5,0.6,0.8,0.9,0.11,0.7,0.1,0.9,0.9,0.8
C. limbatus,S,D,AL,0.8,0.8,0.9,0.9,0.1,0.8,0.9,0.8,0.7,0.8
C. limbatus,S,D,PaP,0.6,0.7,0.8,0.7,0.7,0.8,0.9,0.8,0.8,0.8
C. limbatus,S,D,L,0.3,0.3,0.4,0.5,0.6,0.5,0.5,0.5,0.4,0.4
C. limbatus,S,D,AL,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.3
C. limbatus,S,D,PaP,0.2,0.3,0.2,0.4,0.5,0.5,0.5,0.5,0.4,0.3
C. acronotus,S,D,L,0.3,0.4,0.4,0.7,0.8,0.9,0.9,0.9,0.9,0.7
C. acronotus,S,D,AL,0.4,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7
C. acronotus,S,D,PaP,0.3,0.5,0.5,0.6,0.8,0.8,0.5,0.8,0.8,0.8
C. acronotus,S,D,L,0.4,0.5,0.5,0.7,0.8,0.8,0.75,0.7,0.6,0.5
C. acronotus,S,D,AL,0.3,0.5,0.5,0.7,0.5,0.6,0.55,0.6,0.5,0.4
C. acronotus,S,D,PaP,0.4,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.4
C. acronotus,S,D,L,0.6,0.7,0.8,0.11,0.8,0.1,0.9,0.1,0.6,0.7
C. acronotus,S,D,AL,0.7,0.8,0.1,0.9,0.9,0.9,0.8,0.7,0.5,0.4
C. acronotus,S,D,PaP,0.3,0.6,0.4,0.8,0.7,0.6,0.6,0.6,0.5,0.8
C. acronotus,S,D,L,0.4,0.5,0.5,0.8,0.8,0.9,0.8,0.7,0.6,0.6
C. acronotus,S,D,AL,0.5,0.6,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.4
C. acronotus,S,D,PaP,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.4
R. porosus,S,D,L,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
R. porosus,S,D,AL,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3
R. porosus,S,D,PaP,0.3,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.3,0.3
R. porosus,S,D,PaP,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
R. porosus,S,D,L,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
R. porosus,S,D,AL,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
R. porosus,S,D,PaP,0.4,0.4,0.4,0.5,0.45,0.5,0.5,0.5,0.5,0.5
C. limbatus,S,D,L,0.3,0.3,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.4
C. limbatus,S,D,AL,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3
C. limbatus,S,D,PaP,0.3,0.4,0.2,0.5,0.5,0.5,0.5,0.4,0.4,0.4
C. acronotus,S,D,L,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3
C. acronotus,S,D,AL,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.2
C. acronotus,S,D,PaP,0.3,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2
C. limbatus,S,D,L,0.8,0.8,0.1,0.11,0.13,0.11,0.12,0.12,0.12,0.11
C. limbatus,S,D,AL,0.7,0.8,0.8,0.1,0.1,0.1,0.9,0.9,0.9,0.8
C. limbatus,S,D,PaP,0.8,0.8,0.7,0.6,0.8,0.1,0.1,0.9,0.9,0.9
C. acronotus,S,D,L,0.3,0.4,0.6,0.8,0.9,0.8,0.7,0.8,0.7,0.6
C. acronotus,S,D,AL,0.7,0.7,0.8,0.8,0.8,0.75,0.7,0.6,0.5,0.3
C. acronotus,S,D,PaP,0.4,0.4,0.3,0.6,0.7,0.6,0.6,0.6,0.6,0.6
S. mokarran,S,D,PaP,1.3,1.15,1.2,1.3,1.3,1.3,1.2,1.3,1.3,1.3
S. mokarran,S,D,AL,0.9,0.7,0.85,1,0.9,1,0.9,0.9,0.9,0.8
S. mokarran,S,D,L,0.9,1.1,1.2,1.15,1.25,1.3,1.3,1.4,1.35,1.35
C. acronotus,S,D,PaP,0.3,0.3,0.3,0.4,0.35,0.4,0.45,0.4,0.3,0.2
C. acronotus,S,D,AL,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.15
C. acronotus,S,D,L,0.2,0.25,0.3,0.35,0.5,0.4,0.5,0.4,0.4,0.3
C. acronotus,S,D,PaP,0.25,0.3,0.35,0.4,0.4,0.4,0.4,0.3,0.4,0.4
C. acronotus,S,D,AL,0.2,0.2,0.35,0.3,0.4,0.3,0.25,0.3,0.2,0.1
C. acronotus,S,D,L,0.2,0.35,0.3,0.4,0.5,0.4,0.5,0.4,0.3,0.3
R. porosus,S,D,PaP,0.3,0.25,0.35,0.5,0.6,0.5,0.5,0.504,0.3,0.3
R. porosus,S,D,AL,0.2,0.25,0.25,0.3,0.25,0.3,0.3,0.25,0.2,0.15
R. porosus,S,D,L,0.3,0.3,0.4,0.5,0.4,0.5,0.5,0.45,0.5,0.4
G. cuvier,S,E,L,6.71,6.3,7.07,6.23,6.3,5.84,5.84,4.78,3.57,2.83
G. cuvier,S,E,AL,4.59,4.55,4.85,4.36,4.55,3.72,3.72,2.33,2.08,1.13
G. cuvier,S,E,PaP,7.45,7.45,7.45,7.47,6.795,6.14,6.14,3.58,3.66,2.63
G. cuvier,I,E,L,5.24,6.04,5.97,6.47,6.17,6.05,5.61,5.49,4.52,5.49
G. cuvier,I,E,AL,2.85,3.73,3.36,4.38,3.75,3.44,3.54,2.8,2.03,2.8
G. cuvier,I,E,PaP,6.45,7.12,8.4,6.12,8.37,6.13,6.11,5.83,6.11,6.11
G. cuvier,S,E,L,6.255,6.38,6.09,6.13,6.55,6.33,5.61,4.59,5.61,5.61
G. cuvier,S,E,AL,4.01,3.73,3.94,4.08,4.16,2.97,2.77,2.43,2.77,2.77
G. cuvier,S,E,PaP,6.825,5.13,7,7.08,6.65,6.85,6.42,6.65,6.65,6.65
G. cuvier,I,E,L,4.98,5.11,5.32,5.56,5.69,5.33,5.45,5.22,5.33,2.81
G. cuvier,I,E,AL,3.11,3.31,3.3,3.46,4.46,2.78,2.44,2.45,2.45,1.81
G. cuvier,I,E,PaP,5.56,5.58,7.07,7.37,7.3,6.3,5.97,4.9,3.15,2.78
C.leucas,S,E,L,4.38,4.01,4.7,6.62,8.97,9.03,8.5,8.27,7.88,7.01
C.leucas,S,E,AL,5.54,6.52,7.29,6.81,7.82,7.32,6.53,6.53,5.28,3.59
C.leucas,S,E,PaP,6.11,2.46,5.14,8.01,6.61,7.28,7.38,7.61,5.75,5.42
C.leucas,I,E,L,5.9,6.61,7.79,7.7,7.52,7.23,8.66,5.6,5.35,5.6
C.leucas,I,E,AL,4.04,3.5,4.99,3.24,4.59,3.98,2.54,1.75,1.37,1.75
C.leucas,I,E,PaP,6.19,7.85,7.81,7.42,6.79,7.16,8.27,5.45,7.16,7.16
R. porosus,S,E,L,3.1,3.62,3.62,4.32,4.435,4.55,4.97,4.86,4.38,4.02
R. porosus,S,E,AL,2.93,3.5,3.5,3.92,3.105,3.61,2.54,2.6,2.37,2.32
R. porosus,S,E,PaP,3.775,4.01,3.54,4.01,4.12,3.89,3.54,3.41,2.92,3.31
R. porosus,I,E,L,3.17,3.63,4.22,4.48,4.43,3.65,3.4,3.76,2.57,2
R. porosus,I,E,AL,3.25,3.34,2.01,2.13,1.86,2.28,2.3,2.32,1.9,1.29
R. porosus,I,E,PaP,3.59,3.84,3.88,3.58,3.6,3.75,3.3,3.26,2.76,2.54
R. porosus,S,E,L,2.58,2.66,3.99,4.35,4.83,4.8,5.25,5.22,5.04,5.35
R. porosus,S,E,AL,2.48,3.04,3.5,3.7,3.09,3.34,3.62,2.39,2.63,2.19
R. porosus,S,E,PaP,3.6,3.32,2.99,4.35,4.73,4.68,4.48,4.08,3.84,3.06
R. porosus,I,E,L,4.45,4.85,5.01,5.52,5.6,5.08,5.56,5.23,3.92,4.35
R. porosus,I,E,AL,3.11,3.22,3.47,3.11,2.71,2.64,2.3,2.24,1.19,1.07
R. porosus,I,E,PaP,5.01,4.6,4.29,5.23,4.77,4.47,4.21,3.46,3.83,3.83
R. porosus,S,E,L,4.23,6.33,5.39,7.85,7.27,7.63,7.08,6.63,6.04,6.63
R. porosus,S,E,AL,4.43,5.045,5.16,4.93,5.39,4.4,4.36,3.92,3.21,3.92
R. porosus,S,E,PaP,6.45,6.45,5.41,6.68,6.45,5.25,5.64,5.01,5.25,5.25
R. porosus,I,E,L,5.08,6.5,7.09,7.23,6.5,5.99,6.06,6.83,5.27,3.34
R. porosus,I,E,AL,4.41,3.78,3.45,4.14,3.84,3.61,6.4,3.31,2.05,1.06
R. porosus,I,E,PaP,6.46,5.9,6.65,5.76,5.71,6.79,5.81,4.78,3.88,2.7
C. limbatus,S,E,L,4.56,7.11,6.47,7.75,8.91,8.45,8.16,7.93,8.13,8.13
C. limbatus,S,E,AL,5.93,6.92,7.16,6.85,6.99,6.36,6.1,4.71,4.71,3.22
C. limbatus,S,E,PaP,7.51,7.51,6.2,7.68,6.21,7.51,7.66,7.51,7.51,7.51
C. limbatus,I,E,L,3.68,5.9,5.8,6.78,7.7,7.51,7.43,7.01,5.98,7.01
C. limbatus,I,E,AL,4.43,5.35,5.39,4.62,3.59,4.58,4.04,3.07,2.58,3.07
C. limbatus,I,E,PaP,6.01,7.66,7.22,8.14,7.75,7.43,7.47,7.39,7.43,7.43
C. acronotus,S,E,L,3.44,3.56,5.57,7.58,7.48,7.145,6.81,6.29,6.29,4.68
C. acronotus,S,E,AL,4.41,6.04,5.98,5.92,5.46,5.375,5.29,3.9,3.9,2.85
C. acronotus,S,E,PaP,5.3,5.8325,5.655,6.01,5.3,5.3,5.4775,4.89,4.89,3.5
C. acronotus,I,E,L,3.87,5.29,5.32,6.49,6.54,6.24,6.28,6.59,5.79,4.92
C. acronotus,I,E,AL,4.38,3.26,3.06,3.18,3.92,3.25,3.43,2.83,2.39,1.34
C. acronotus,I,E,PaP,5.01,6.21,6.62,7.22,7.39,6.52,6.81,5.72,5.62,5.72
Sphyrna Itamaracá,S,E,L,7.18,7.18,6.15,7.18,8.46,8.67,8.32,7.46,7.23,8.15
Sphyrna Itamaracá,S,E,AL,6.91,6.91,6.8,7.48,6.91,6.28,7.18,6.59,6.13,6.26
Sphyrna Itamaracá,S,E,PaP,5.47,6.3,5.39,5.47,6.63,6.02,6.23,6.54,7.38,6.37
Sphyrna Itamaracá,I,E,L,5.92,6.52,5.92,5.87,5.895,6.55,5.03,5.03,4.53,5.03
Sphyrna Itamaracá,I,E,AL,7.28,7.28,7.35,6.62,6.77,6.77,4.78,5.81,4.85,4.85
Sphyrna Itamaracá,I,E,PaP,8.51,7.83,9.17,8.51,8.51,8.51,8.51,8.51,8.51,8.51
R. porosus,S,E,L,1.11,2.9,5.01,3.62,4.09,3.09,2.62,3.37,3.26,3.26
R. porosus,S,E,AL,2.95,3.01,3.72,3.6,3.16,3,2.19,2.17,1.61,2.17
R. porosus,S,E,PaP,4,6.26,4.54,4.67,3.96,3.74,3.35,3.05,3.545,3.35
R. porosus,I,E,L,2.14,3.58,4.54,4.525,5.05,4.51,3.37,3.06,3.87,3.77
R. porosus,I,E,AL,2.43,3.19,3.39,3.03,2.87,2.66,2.8,3.17,2.29,2.15
R. porosus,I,E,PaP,3.01,3.53,4.31,4.415,4.82,4.52,3.81,3.05,3.06,3.06
R. porosus,S,E,L,2.92,3.19,4.16,2.9,4.9,5.73,5.3,5.08,5.15,3.98
R. porosus,S,E,AL,2.74,3.77,4.02,5.01,4.62,5.66,5.49,4.87,3.64,2.37
R. porosus,S,E,PaP,3.99,3.73,3.57,2.81,4.69,4.47,5.12,4.71,4.14,3.54
R. porosus,I,E,L,2.8,4.25,4.89,6.1,5.92,3.94,6.85,5.19,4.6,4.61
R. porosus,I,E,AL,4.07,4.11,4.03,3.58,3.39,3.76,3.4,3.85,2.98,1.9
R. porosus,I,E,PaP,4.31,5.54,5.08,4.89,4.79,5.22,4.84,3.99,3.33,3.99
R. porosus,S,E,L,2.26,2.6,3.63,3.32,4.56,4.53,3.3,4.44,3.33,3.41
R. porosus,S,E,AL,2.54,2.89,3.09,3.2,3.71,3.38,3.26,2.89,3.5,2.42
R. porosus,S,E,PaP,3.37,2.92,3.17,3.55,4.46,4.8,4.59,4.29,4.09,3.35
R. porosus,I,E,L,2.6,2.1,3.99,3.72,4.72,4.35,4.96,3.84,4.59,2.88
R. porosus,I,E,AL,2.44,2.41,3.04,3.15,2.66,2.92,2.5,3.06,2.48,1.6
R. porosus,I,E,PaP,2.27,3.79,3.65,4.48,3.77,3.98,3.64,3.06,2.64,2.13
C. acronotus,S,E,L,3.06,3.43,5.38,4.92,6.49,5.16,6.68,5.31,4.71,4.96
C. acronotus,S,E,AL,4.99,5.83,6.98,6.42,6.51,7.39,5.77,6.08,4.61,4.38
C. acronotus,S,E,PaP,4.21,2.69,4.7,3.67,5.08,5.7,5.9,4.84,5.19,3.37
C. acronotus,I,E,L,3.29,5.32,6.03,5.93,6.65,6.47,6.32,5.78,7.6,4.65
C. acronotus,I,E,AL,4.06,3.68,4.22,4.55,3.98,3.65,3.67,2.84,1.31,1.3
C. acronotus,I,E,PaP,5.55,5.42,5.77,5.68,4.87,5.69,4.89,4.69,3.82,4.69
R. porosus,S,E,L,0.28,0.2,0.43,0.35,0.51,0.39,0.44,0.34,0.35,0.22
R. porosus,S,E,PaP,0.38,0.2,0.39,0.34,0.41,0.38,0.31,0.22,0.27,0.13
R. porosus,S,E,AL,0.39,0.34,0.35,0.49,0.36,0.44,0.39,0.26,0.24,0.13
R. porosus,I,E,L,0.24,0.42,0.33,0.52,0.36,0.4,0.44,0.4,0.35,0.24
R. porosus,I,E,PaP,0.34,0.49,0.36,0.49,0.4,0.33,0.27,0.26,0.2,0.26
R. porosus,I,E,AL,0.24,0.23,0.24,0.33,0.24,0.26,0.24,0.25,0.2,0.15
C. acronotus,I,E,L,0.3,0.7,0.7,0.8,0.7,0.8,0.6,0.8,0.6,0.5
C. acronotus,I,E,AL,0.5,0.7,0.7,0.6,0.5,0.7,0.6,0.5,0.4,0.3
C. acronotus,I,E,PaP,0.5,0.8,0.9,0.7,0.8,0.8,0.7,0.9,0.7,0.5
C. limbatus,I,E,L,0.5,0.6,0.8,0.7,0.9,0.8,0.7,0.7,0.7,0.6
C. limbatus,I,E,AL,0.5,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.3,0.2
C. limbatus,I,E,PaP,0.3,0.7,0.9,0.9,0.8,0.7,0.8,0.7,0.6,0.5
C. limbatus,I,E,L,0.2,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
C. limbatus,I,E,AL,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2
C. limbatus,I,E,PaP,0.3,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.2
C. acronotus,I,E,L,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.5
C. acronotus,I,E,AL,0.4,0.5,0.6,0.6,0.5,0.5,0.3,0.3,0.3,0.3
C. acronotus,I,E,PaP,0.4,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7
C. acronotus,I,E,L,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3
C. acronotus,I,E,AL,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4
C. acronotus,I,E,PaP,0.3,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.6
C. acronotus,I,E,L,0.4,0.6,0.6,0.7,0.8,0.7,0.7,0.6,0.6,0.6
C. acronotus,I,E,AL,0,0,0,0.5,0.5,0.5,0.5,0.4,0.3,0.2
C. acronotus,I,E,PaP,0,0,0,0,0.7,0.7,0.7,0.8,0.6,0.5
C. acronotus,I,E,L,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
C. acronotus,I,E,AL,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.2
C. acronotus,I,E,PaP,0.2,0.5,0.7,0.6,0.6,0.6,0.6,0.7,0.5,0.5
R. porosus,I,E,L,0.2,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2
R. porosus,I,E,AL,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
R. porosus,I,E,PaP,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
R. porosus,I,E,L,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
R. porosus,I,E,AL,0.2,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3
R. porosus,I,E,PaP,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4
C. limbatus,I,E,L,0.2,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3
C. limbatus,I,E,AL,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
C. limbatus,I,E,PaP,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
C. acronotus,I,E,L,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
C. acronotus,I,E,AL,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,E,PaP,0,0,0,0,0,0,0,0,0,0
C. limbatus,I,E,L,0.9,0.1,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11
C. limbatus,I,E,AL,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.9,0.8,0.8
C. limbatus,I,E,PaP,0.13,0.11,0.13,0.13,0.13,0.12,0.9,0.8,0.8,0.8
C. acronotus,S,E,L,0.22,0.3,0.34,0.35,0.37,0.28,0.33,0.31,0.28,0.23
C. acronotus,S,E,PaP,0.11,0.15,0.27,0.31,0.27,0.31,0.33,0.27,0.21,0.12
C. acronotus,S,E,AL,0.28,0.36,0.41,0.36,0.38,0.34,0.33,0.31,0.22,0.17
C. acronotus,I,E,L,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,E,PaP,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,E,AL,0,0,0,0,0,0,0,0,0,0
R. porosus,S,E,L,0.42,0.31,0.38,0.61,0.61,0.43,0.66,0.44,0.51,0.44
R. porosus,S,E,PaP,0.41,0.33,0.36,0.54,0.5,0.5,0.43,0.44,0.42,0.31
R. porosus,S,E,AL,0.36,0.41,0.46,0.46,0.47,0.37,0.34,0.31,0.25,0.24
R. porosus,I,E,L,0.31,0.46,0.41,0.58,0.51,0.63,0.6,0.56,0.51,0.31
R. porosus,I,E,PaP,0.61,0.48,0.42,0.49,0.55,0.44,0.44,0.33,0.48,0.33
R. porosus,I,E,AL,0.44,0.35,0.41,0.45,0.41,0.33,0.34,0.38,0.24,0.22
R. porosus,S,E,L,0.28,0.2,0.43,0.35,0.51,0.39,0.44,0.34,0.35,0.22
R. porosus,S,E,PaP,0.38,0.2,0.39,0.34,0.41,0.38,0.31,0.22,0.27,0.13
R. porosus,S,E,AL,0.39,0.34,0.35,0.49,0.36,0.44,0.39,0.26,0.24,0.13
R. porosus,I,E,L,0.24,0.42,0.33,0.52,0.36,0.4,0.44,0.4,0.35,0.24
R. porosus,I,E,PaP,0.34,0.49,0.36,0.49,0.4,0.33,0.27,0.26,0.2,0.34
R. porosus,I,E,AL,0.24,0.23,0.24,0.33,0.24,0.26,0.24,0.25,0.2,0.15
R. porosus,S,E,L,0.27,0.28,0.33,0.53,0.53,0.56,0.46,0.5,0.24,0.25
R. porosus,S,E,PaP,0.36,0.5,0.35,0.77,0.38,0.76,0.3,0.36,0.37,0.37
R. porosus,S,E,AL,0.27,0.36,0.42,0.36,0.36,0.43,0.44,0.34,0.26,0.2
R. porosus,I,E,L,0.33,0.41,0.5,0.53,0.35,0.41,0.35,0.33,0.31,0.35
R. porosus,I,E,PaP,0.4,0.38,0.4,0.45,0.33,0.38,0.41,0.34,0.39,0.39
R. porosus,I,E,AL,0.24,0.34,0.36,0.34,0.33,0.48,0.26,0.35,0.36,0.34
R. porosus,S,E,L,0.2,0.21,0.31,0.33,0.47,0.36,0.35,0.32,0.28,0.39
R. porosus,S,E,PaP,0.29,0.28,0.39,0.31,0.33,0.36,0.3,0.31,0.24,0.27
R. porosus,S,E,AL,0.21,0.15,0.27,0.31,0.33,0.27,0.35,0.28,0.16,0.12
R. porosus,I,E,L,0.2,0.22,0.26,0.37,0.31,0.3,0.34,0.28,0.16,0.24
R. porosus,I,E,PaP,0.39,0.33,0.36,0.38,0.28,0.37,0.33,0.22,0.27,0.22
R. porosus,I,E,AL,0.11,0.25,0.23,0.27,0.22,0.16,0.16,0.15,0.15,0.12
G. cuvier,S,E,L,2.62,2.73,2.85,2.38,2.38,1.87,2.74,2.38,1.87,1.66
G. cuvier,S,E,PaP,2.71,2.76,2.445,2.18,2.18,1.53,2.7,2.18,1.53,1.53
G. cuvier,S,E,AL,2.04,2.2,2.22,1.04,1.04,0.73,1.45,1.04,0.73,0.58
G. cuvier,I,E,L,2.31,2.55,2.86,3.02,3.21,3.08,2.89,2.71,2.28,1.86
G. cuvier,I,E,PaP,2.84,3.19,3.44,3.36,3.32,3.07,2.83,2.36,1.95,2.83
G. cuvier,I,E,AL,1.73,2.02,1.94,2.01,2.06,1.93,1.72,1.22,0.8,0.62
G. cuvier,S,E,L,1.3,1.38,1.63,1.54,1.96,1.6,1.68,1.44,1.14,0.46
G. cuvier,S,E,PaP,1.76,1.5,2.05,2.07,2.32,2.18,1.88,1.64,1.4,0.87
G. cuvier,S,E,AL,1.2,1.29,1.25,1.31,1.21,1.12,0.89,0.7,0.49,0.41
G. cuvier,I,E,L,1.4,1.59,1.69,1.03,1.71,1.65,1.74,1.62,1.28,1.05
G. cuvier,I,E,PaP,1.9,1.94,2.06,2.15,2.14,2.16,1.84,1.59,1.25,1.02
G. cuvier,I,E,AL,0.93,1.1,1.12,1.12,1.18,1.01,0.89,0.84,0.57,0.51
S. lewini,S,E,L,0.83,0.73,1.04,1.07,1.06,1.04,0.92,1.04,1.03,1.05
S. lewini,S,E,PaP,0.84,0.84,0.74,1.03,1.01,0.84,0.71,0.94,0.84,0.85
S. lewini,S,E,AL,0.76,0.62,0.76,0.89,0.76,0.79,0.77,0.68,0.67,0.55
S. lewini,I,E,L,0.87,0.92,0.95,0.98,1.04,1.02,0.92,0.98,1.03,0.87
S. lewini,I,E,PaP,1.04,0.97,1.06,1.07,1.12,1.01,0.9,0.92,0.89,0.73
S. lewini,I,E,AL,0.8,0.91,0.92,0.9,0.91,0.87,0.83,0.81,0.83,0.69
C.leucas,S,E,L,1.27,1.46,1.5,1.65,1.66,1.72,1.76,1.6,1.49,1.44
C.leucas,S,E,PaP,1.34,1.66,1.77,1.57,1.47,1.55,1.66,1.73,1.32,1.37
C.leucas,S,E,AL,1.16,1.26,1.31,1.36,1.3,1.27,1.2,1.14,1.06,0.95
C.leucas,I,E,L,0.44,0.59,0.61,0.64,0.64,0.64,0.63,0.57,0.54,0.47
C.leucas,I,E,PaP,1.57,1.76,1.84,1.32,1.29,1.29,1.51,1.5,1.34,1.31
C.leucas,I,E,AL,1.04,1.18,1.24,1.16,1.16,1.16,1.02,0.96,1.01,0.82
G. cuvier,S,E,L,1.455,1.38,1.46,1.45,1.57,1.54,1.42,1.19,0.95,0.76
G. cuvier,S,E,PaP,1.46,1.11,1.51,1.41,1.65,1.7,1.34,1.25,0.75,0.61
G. cuvier,S,E,AL,1.075,1.09,1.08,1.1,1.05,1.07,0.72,0.51,0.35,0.26
G. cuvier,I,E,L,1.07,1.28,1.44,1.45,1.52,1.44,1.43,1.26,1.06,0.7
G. cuvier,I,E,PaP,1.32,1.64,1.61,1.91,1.81,1.64,1.21,1.31,0.85,0.61
G. cuvier,I,E,AL,0.73,0.94,0.89,0.84,0.73,0.75,0.7,0.68,0.49,0.35
S. mokarran,S,E,L,1.01,1.2,1.24,1.35,1.34,1.41,1.31,1.42,1.43,1.33
S. mokarran,S,E,PaP,1.25,1.35,1.09,1.45,1.54,1.54,1.54,1.54,1.29,1.61
S. mokarran,S,E,AL,0.75,0.84,0.77,0.95,0.95,0.92,0.92,0.92,0.92,0.87
S. mokarran,I,E,L,1.11,1.28,1.43,1.39,1.34,1.28,1.31,1.32,1.21,1.22
S. mokarran,I,E,PaP,1.425,1.69,1.49,1.36,1.31,1.19,1.31,1.31,1.14,1.32
S. mokarran,I,E,AL,1.18,1.19,1.17,1.2,1.11,0.99,0.89,0.985,1.13,0.98
G. cuvier,S,E,L,2.66,2.51,2.61,2.75,2.71,2.53,2.33,2.1,1.62,1.37
G. cuvier,S,E,PaP,2.19,2.19,2.15,2.54,2.19,2.17,2.45,1.94,1.55,1.03
G. cuvier,S,E,AL,1.945,1.94,2.2,1.99,1.95,1.66,1.38,1.03,0.75,0.52
G. cuvier,I,E,L,2.02,2.31,2.54,2.61,2.61,2.42,2.33,2.1,1.89,1.39
G. cuvier,I,E,PaP,2.06,2.49,2.57,2.505,2.505,2.65,2.52,1.91,1.82,1.865
G. cuvier,I,E,AL,1.58,1.9,1.75,1.84,1.54,1.54,1.47,1.21,0.91,0.67
C.leucas,S,E,L,1.21,1.42,1.46,1.63,1.73,1.46,1.66,1.66,1.45,1.38
C.leucas,S,E,PaP,1.27,1.33,1.7,1.48,1.405,1.405,1.89,1.53,1.27,1.15
C.leucas,S,E,AL,1.19,1.47,1.59,1.54,1.52,1.43,1.43,1.31,1.12,0.94
C.leucas,I,E,L,0.88,1.24,1.04,1.1,1.26,1.34,1.24,1.35,1.44,1.22
C.leucas,I,E,PaP,1.29,1.27,1.13,1.34,1.34,1.47,1.21,1.34,1.315,1.315
C.leucas,I,E,AL,1,1.32,1.41,1.34,1.3,1.21,1.25,1.14,1.09,1.25
C.leucas,S,E,L,1.31,1.6,1.88,2.04,2.05,2.07,2.12,2.05,2.01,1.84
C.leucas,S,E,PaP,1.71,1.81,1.79,1.56,1.99,1.81,1.95,1.88,1.81,1.81
C.leucas,S,E,AL,1.44,1.72,1.75,1.75,1.72,1.67,1.56,1.62,1.46,1.67
C.leucas,I,E,L,1.13,1.45,1.62,1.53,1.54,1.61,1.6,1.63,1.6,1.58
C.leucas,I,E,PaP,1.73,1.81,1.78,1.59,1.71,1.61,1.79,1.61,1.61,1.53
C.leucas,I,E,AL,1.31,1.62,1.76,1.57,1.57,1.45,1.43,1.42,1.42,0.92
G. cuvier,S,E,L,0.81,0.85,0.92,0.755,0.91,0.86,0.84,0.67,0.54,0.56
